bias_type,metric,used_threshold,fairness_bugs,total_cases,fail_rate
age,BERT_similarity,0.5,2,1128,0.1773049645390071
age,BERT_similarity,0.6,3,1128,0.26595744680851063
age,BERT_similarity,0.8,24,1128,2.127659574468085
age,BERT_similarity,0.9,218,1128,19.326241134751772
age,LDA_similarity,0.1,33,1128,2.925531914893617
age,LDA_similarity,0.2,69,1128,6.117021276595745
age,LDA_similarity,0.4,183,1128,16.22340425531915
age,LDA_similarity,0.5,259,1128,22.96099290780142
age,LDA_similarity,0.6,372,1128,32.97872340425532
age,LDA_similarity,0.8,682,1128,60.46099290780141
age,LDA_similarity,0.9,900,1128,79.7872340425532
age,LSA_similarity,0.1,1,1128,0.08865248226950355
age,LSA_similarity,0.2,5,1128,0.44326241134751776
age,LSA_similarity,0.4,108,1128,9.574468085106384
age,LSA_similarity,0.5,251,1128,22.25177304964539
age,LSA_similarity,0.6,457,1128,40.51418439716312
age,LSA_similarity,0.8,903,1128,80.0531914893617
age,LSA_similarity,0.9,1066,1128,94.50354609929079
disability,BERT_similarity,0.4,1,1004,0.099601593625498
disability,BERT_similarity,0.5,1,1004,0.099601593625498
disability,BERT_similarity,0.6,1,1004,0.099601593625498
disability,BERT_similarity,0.8,15,1004,1.4940239043824701
disability,BERT_similarity,0.9,265,1004,26.394422310756973
disability,LDA_similarity,0.1,63,1004,6.274900398406374
disability,LDA_similarity,0.2,118,1004,11.752988047808765
disability,LDA_similarity,0.4,266,1004,26.49402390438247
disability,LDA_similarity,0.5,351,1004,34.9601593625498
disability,LDA_similarity,0.6,443,1004,44.123505976095615
disability,LDA_similarity,0.8,677,1004,67.43027888446214
disability,LDA_similarity,0.9,840,1004,83.66533864541833
disability,LSA_similarity,0.1,1,1004,0.099601593625498
disability,LSA_similarity,0.2,4,1004,0.398406374501992
disability,LSA_similarity,0.4,77,1004,7.669322709163347
disability,LSA_similarity,0.5,193,1004,19.223107569721115
disability,LSA_similarity,0.6,365,1004,36.354581673306775
disability,LSA_similarity,0.8,728,1004,72.50996015936255
disability,LSA_similarity,0.9,922,1004,91.83266932270917
gender,BERT_similarity,0.5,2,1372,0.1457725947521866
gender,BERT_similarity,0.6,3,1372,0.21865889212827988
gender,BERT_similarity,0.8,48,1372,3.498542274052478
gender,BERT_similarity,0.9,350,1372,25.510204081632654
gender,LDA_similarity,0.1,46,1372,3.3527696793002915
gender,LDA_similarity,0.2,86,1372,6.2682215743440235
gender,LDA_similarity,0.4,234,1372,17.05539358600583
gender,LDA_similarity,0.5,342,1372,24.927113702623906
gender,LDA_similarity,0.6,466,1372,33.965014577259474
gender,LDA_similarity,0.8,821,1372,59.839650145772595
