bias_type,metric,used_threshold,fairness_bugs,total_cases,fail_rate
age,BERT_similarity,0.8,2,1128,0.1773049645390071
age,BERT_similarity,0.9,93,1128,8.24468085106383
age,LDA_similarity,0.1,19,1128,1.6843971631205674
age,LDA_similarity,0.2,33,1128,2.925531914893617
age,LDA_similarity,0.4,127,1128,11.25886524822695
age,LDA_similarity,0.5,201,1128,17.819148936170212
age,LDA_similarity,0.6,303,1128,26.861702127659576
age,LDA_similarity,0.8,632,1128,56.02836879432624
age,LDA_similarity,0.9,869,1128,77.03900709219859
age,LSA_similarity,0.4,38,1128,3.368794326241135
age,LSA_similarity,0.5,136,1128,12.056737588652481
age,LSA_similarity,0.6,301,1128,26.684397163120565
age,LSA_similarity,0.8,831,1128,73.67021276595744
age,LSA_similarity,0.9,1055,1128,93.52836879432624
disability,BERT_similarity,0.8,1,1004,0.099601593625498
disability,BERT_similarity,0.9,159,1004,15.836653386454183
disability,LDA_similarity,0.1,15,1004,1.4940239043824701
disability,LDA_similarity,0.2,46,1004,4.581673306772909
disability,LDA_similarity,0.4,160,1004,15.936254980079681
disability,LDA_similarity,0.5,244,1004,24.302788844621514
disability,LDA_similarity,0.6,369,1004,36.75298804780876
disability,LDA_similarity,0.8,637,1004,63.44621513944223
disability,LDA_similarity,0.9,836,1004,83.26693227091634
disability,LSA_similarity,0.4,10,1004,0.9960159362549801
disability,LSA_similarity,0.5,46,1004,4.581673306772909
disability,LSA_similarity,0.6,171,1004,17.03187250996016
disability,LSA_similarity,0.8,599,1004,59.66135458167331
disability,LSA_similarity,0.9,877,1004,87.35059760956176
gender,BERT_similarity,0.8,10,1372,0.7288629737609329
gender,BERT_similarity,0.9,171,1372,12.463556851311953
gender,LDA_similarity,0.1,7,1372,0.5102040816326531
gender,LDA_similarity,0.2,26,1372,1.8950437317784257
gender,LDA_similarity,0.4,105,1372,7.653061224489796
gender,LDA_similarity,0.5,184,1372,13.411078717201166
gender,LDA_similarity,0.6,284,1372,20.699708454810494
gender,LDA_similarity,0.8,673,1372,49.052478134110785
gender,LDA_similarity,0.9,970,1372,70.69970845481049
gender,LSA_similarity,0.2,1,1372,0.0728862973760933
gender,LSA_similarity,0.4,55,1372,4.0087463556851315
gender,LSA_similarity,0.5,146,1372,10.641399416909621
gender,LSA_similarity,0.6,325,1372,23.688046647230323
gender,LSA_similarity,0.8,942,1372,68.65889212827987
gender,LSA_similarity,0.9,1259,1372,91.76384839650146
nationality,BERT_similarity,0.8,11,1280,0.8593750000000001
nationality,BERT_similarity,0.9,249,1280,19.453125
nationality,LDA_similarity,0.1,5,1280,0.390625
nationality,LDA_similarity,0.2,22,1280,1.7187500000000002
nationality,LDA_similarity,0.4,94,1280,7.34375
nationality,LDA_similarity,0.5,157,1280,12.265625
nationality,LDA_similarity,0.6,258,1280,20.15625
nationality,LDA_similarity,0.8,555,1280,43.359375
nationality,LDA_similarity,0.9,836,1280,65.3125
nationality,LSA_similarity,0.4,6,1280,0.46875
nationality,LSA_similarity,0.5,34,1280,2.65625
nationality,LSA_similarity,0.6,109,1280,8.515625
nationality,LSA_similarity,0.8,531,1280,41.484375
